MapDate,FIPS,County,State,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20200602,6001,Alameda County,CA,0,100,100,44.56,0,0,6/2/2020,6/8/2020,1
20200526,6001,Alameda County,CA,0,100,100,44.56,0,0,5/26/2020,6/1/2020,1
20200519,6001,Alameda County,CA,0,100,100,44.56,0,0,5/19/2020,5/25/2020,1
20200512,6001,Alameda County,CA,0,100,100,44.56,0,0,5/12/2020,5/18/2020,1
20200505,6001,Alameda County,CA,0,100,100,44.56,0,0,5/5/2020,5/11/2020,1
20200428,6001,Alameda County,CA,0,100,100,45.28,0,0,4/28/2020,5/4/2020,1
20200421,6001,Alameda County,CA,0,100,100,45.28,0,0,4/21/2020,4/27/2020,1
20200414,6001,Alameda County,CA,0,100,100,0,0,0,4/14/2020,4/20/2020,1
20200407,6001,Alameda County,CA,0,100,100,0,0,0,4/7/2020,4/13/2020,1
20200331,6001,Alameda County,CA,0,100,100,0,0,0,3/31/2020,4/6/2020,1
20200324,6001,Alameda County,CA,0,100,100,0,0,0,3/24/2020,3/30/2020,1
20200317,6001,Alameda County,CA,0,100,100,0,0,0,3/17/2020,3/23/2020,1
20200310,6001,Alameda County,CA,0,100,100,0,0,0,3/10/2020,3/16/2020,1
20200303,6001,Alameda County,CA,0,100,98.51,0,0,0,3/3/2020,3/9/2020,1
20200225,6001,Alameda County,CA,0,100,5.12,0,0,0,2/25/2020,3/2/2020,1
20200218,6001,Alameda County,CA,3.22,96.78,0,0,0,0,2/18/2020,2/24/2020,1
20200211,6001,Alameda County,CA,3.22,96.78,0,0,0,0,2/11/2020,2/17/2020,1
20200204,6001,Alameda County,CA,8.8,91.2,0,0,0,0,2/4/2020,2/10/2020,1
20200128,6001,Alameda County,CA,8.8,91.2,0,0,0,0,1/28/2020,2/3/2020,1
20200121,6001,Alameda County,CA,100,0,0,0,0,0,1/21/2020,1/27/2020,1
20200114,6001,Alameda County,CA,100,0,0,0,0,0,1/14/2020,1/20/2020,1
20200107,6001,Alameda County,CA,100,0,0,0,0,0,1/7/2020,1/13/2020,1
20191231,6001,Alameda County,CA,100,0,0,0,0,0,12/31/2019,1/6/2020,1
20191224,6001,Alameda County,CA,100,0,0,0,0,0,12/24/2019,12/30/2019,1
20191217,6001,Alameda County,CA,100,0,0,0,0,0,12/17/2019,12/23/2019,1
20191210,6001,Alameda County,CA,100,0,0,0,0,0,12/10/2019,12/16/2019,1
20191203,6001,Alameda County,CA,0,100,0,0,0,0,12/3/2019,12/9/2019,1
20191126,6001,Alameda County,CA,0,100,0,0,0,0,11/26/2019,12/2/2019,1
20191119,6001,Alameda County,CA,0,100,0,0,0,0,11/19/2019,11/25/2019,1
20191112,6001,Alameda County,CA,0,100,0,0,0,0,11/12/2019,11/18/2019,1
20191105,6001,Alameda County,CA,100,0,0,0,0,0,11/5/2019,11/11/2019,1
20191029,6001,Alameda County,CA,100,0,0,0,0,0,10/29/2019,11/4/2019,1
20191022,6001,Alameda County,CA,100,0,0,0,0,0,10/22/2019,10/28/2019,1
20191015,6001,Alameda County,CA,100,0,0,0,0,0,10/15/2019,10/21/2019,1
20191008,6001,Alameda County,CA,100,0,0,0,0,0,10/8/2019,10/14/2019,1
20191001,6001,Alameda County,CA,100,0,0,0,0,0,10/1/2019,10/7/2019,1
20190924,6001,Alameda County,CA,100,0,0,0,0,0,9/24/2019,9/30/2019,1
20190917,6001,Alameda County,CA,100,0,0,0,0,0,9/17/2019,9/23/2019,1
20190910,6001,Alameda County,CA,100,0,0,0,0,0,9/10/2019,9/16/2019,1
20190903,6001,Alameda County,CA,100,0,0,0,0,0,9/3/2019,9/9/2019,1
20190827,6001,Alameda County,CA,100,0,0,0,0,0,8/27/2019,9/2/2019,1
20190820,6001,Alameda County,CA,100,0,0,0,0,0,8/20/2019,8/26/2019,1
20190813,6001,Alameda County,CA,100,0,0,0,0,0,8/13/2019,8/19/2019,1
20190806,6001,Alameda County,CA,100,0,0,0,0,0,8/6/2019,8/12/2019,1
20190730,6001,Alameda County,CA,100,0,0,0,0,0,7/30/2019,8/5/2019,1
20190723,6001,Alameda County,CA,100,0,0,0,0,0,7/23/2019,7/29/2019,1
20190716,6001,Alameda County,CA,100,0,0,0,0,0,7/16/2019,7/22/2019,1
20190709,6001,Alameda County,CA,100,0,0,0,0,0,7/9/2019,7/15/2019,1
20190702,6001,Alameda County,CA,100,0,0,0,0,0,7/2/2019,7/8/2019,1
20190625,6001,Alameda County,CA,100,0,0,0,0,0,6/25/2019,7/1/2019,1
20190618,6001,Alameda County,CA,100,0,0,0,0,0,6/18/2019,6/24/2019,1
20190611,6001,Alameda County,CA,100,0,0,0,0,0,6/11/2019,6/17/2019,1
20190604,6001,Alameda County,CA,100,0,0,0,0,0,6/4/2019,6/10/2019,1
20190528,6001,Alameda County,CA,100,0,0,0,0,0,5/28/2019,6/3/2019,1
20190521,6001,Alameda County,CA,100,0,0,0,0,0,5/21/2019,5/27/2019,1
20190514,6001,Alameda County,CA,100,0,0,0,0,0,5/14/2019,5/20/2019,1
20190507,6001,Alameda County,CA,100,0,0,0,0,0,5/7/2019,5/13/2019,1
20190430,6001,Alameda County,CA,100,0,0,0,0,0,4/30/2019,5/6/2019,1
